"","Parameter","MeltR.method","MeltWin.method","Error"
"1","dH",1,1,4.07126158980704
"2","dS",1,1,4.03119843197713
"3","dG",1,1,6.27566417675947
"4","Tm",1,1,1.98654009475046
"5","dH",1,2,NA
"6","dS",1,2,NA
"7","dG",1,2,NA
"8","Tm",1,2,NA
"9","dH",2,1,NA
"10","dS",2,1,NA
"11","dG",2,1,NA
"12","Tm",2,1,NA
"13","dH",2,2,NA
"14","dS",2,2,NA
"15","dG",2,2,NA
"16","Tm",2,2,NA
"17","dH",3,1,4.7545428662015
"18","dS",3,1,4.78708076031566
"19","dG",3,1,6.77246772406954
"20","Tm",3,1,1.98654009475046
"21","dH",3,2,NA
"22","dS",3,2,NA
"23","dG",3,2,NA
"24","Tm",3,2,NA
