"Sample","Ct","H","S","G","Tm"
"62",0.000442547695920164,-66.43,-0.2081,-1.89,24.17
"63",7.58262400939243e-05,-65.96,-0.2063,-1.98,19.83
"64",1.73847960082184e-05,-59.99,-0.1862,-2.23,15.25
"66",0.000268680657469915,-51.73,-0.1584,-2.6,22.88
"67",4.48591135896683e-05,-62.17,-0.1936,-2.12,18.04
"68",1.09862048723217e-05,-49.34,-0.15,-2.81,12.51
"70",0.000154398297622542,-55.37,-0.1707,-2.42,21.12
"71",2.6593777516877e-05,-62.16,-0.1935,-2.16,16.78
"72",6.78162606398591e-06,-51.74,-0.1594,-2.3,9.49
